Region,Latitude,Longitude,RSL,RSLer_up_2sd,RSLer_low_2sd,Age,Age_up_er_2sd,Age_low_er_2sd,Limiting,Indicator,Region,CC
North Carolina,34.971,-76.38,0,0.06,0.06,-36,5,5,0,1,12,1
North Carolina,34.971,-76.38,-1.21,0.08,0.08,819,76,76,0,1,12,1
North Carolina,34.971,-76.38,-0.46,0.08,0.08,117,18,18,0,1,12,1
North Carolina,34.971,-76.38,-0.39,0.08,0.08,73,14,14,0,1,12,1
North Carolina,34.971,-76.38,-0.38,0.08,0.08,60,8,8,0,1,12,1
North Carolina,34.971,-76.38,-0.34,0.08,0.08,50,8,8,0,1,12,1
North Carolina,34.971,-76.38,-0.32,0.08,0.08,47,7,7,0,1,12,1
North Carolina,34.971,-76.38,-0.31,0.08,0.08,41,7,7,0,1,12,1
North Carolina,34.971,-76.38,0.02,0.08,0.08,-45,1,1,0,1,12,1
North Carolina,34.98,-76.2,-2.25,0.11,0.11,381,104,104,-1,1,12,0
North Carolina,35.16,-75.31,0.53,0.51,0.51,387,85,85,1,1,12,0
North Carolina,35.22,-75.66,-0.66,0.54,0.54,563,67,67,0,1,12,0
North Carolina,35.23,-75.68,-0.86,0.54,0.54,218,218,218,0,1,12,0
North Carolina,35.26,-75.52,-0.42,0.2,0.2,143,143,143,0,1,12,0
North Carolina,35.26,-75.52,-0.71,0.7,0.7,155,155,155,0,1,12,0
North Carolina,35.45,-75.49,-3.7,0.11,0.11,1203,137,137,-1,1,12,0
North Carolina,35.46,-75.57,-24.98,0.51,0.51,9572,146,146,-1,1,12,0
North Carolina,35.46,-75.57,-18.48,0.51,0.51,8623,214,214,-1,1,12,0
North Carolina,35.46,-75.57,-18.38,0.51,0.51,8154,157,157,-1,1,12,0
North Carolina,35.46,-75.57,-13.38,0.51,0.51,6986,173,173,-1,1,12,0
North Carolina,35.47,-75.53,-4.94,0.51,0.51,1534,164,164,-1,1,12,0
North Carolina,35.52,-75.48,-2.91,0.51,0.51,1376,124,124,-1,1,12,0
North Carolina,35.52,-75.48,-0.54,0.2,0.2,228,228,228,0,1,12,0
North Carolina,35.65,-75.46,-0.43,0.2,0.2,153,153,153,0,1,12,0
North Carolina,35.75,-75.32,-24,0.51,0.51,5914,263,263,-1,1,12,0
North Carolina,35.85,-75.62,-1.78,0.51,0.51,2553,197,197,1,1,12,0
North Carolina,35.86,-75.63,-1.78,0.51,0.51,3859,282,282,1,1,12,0
North Carolina,35.87,-75.64,-1.93,0.51,0.51,6041,271,271,1,1,12,0
North Carolina,35.87,-75.64,-1.79,0.51,0.51,2356,347,347,1,1,12,0
North Carolina,35.88,-75.71,-6.01,0.51,0.51,3407,178,178,-1,1,12,0
North Carolina,35.88,-75.68,-2.67,0.2,0.2,2696,153,153,0,1,12,0
North Carolina,35.88,-75.68,-3,0.2,0.2,2539,176,176,0,1,12,0
North Carolina,35.88,-75.68,-2.49,0.2,0.2,2522,176,176,0,1,12,0
North Carolina,35.88,-75.68,-2.68,0.2,0.2,2522,177,177,0,1,12,0
North Carolina,35.88,-75.68,-2.7,0.2,0.2,2474,125,125,0,1,12,0
North Carolina,35.88,-75.68,-2.5,0.2,0.2,2145,142,142,0,1,12,0
North Carolina,35.88,-75.68,-2.38,0.2,0.2,2051,100,100,0,1,12,0
North Carolina,35.88,-75.68,-2.28,0.2,0.2,1860,126,126,0,1,12,0
North Carolina,35.88,-75.68,-1.99,0.2,0.2,1476,63,63,0,1,12,0
North Carolina,35.88,-75.68,-1.42,0.2,0.2,1295,228,228,0,1,12,0
North Carolina,35.88,-75.68,-1.71,0.2,0.2,1118,112,112,0,1,12,0
North Carolina,35.88,-75.68,-1.5,0.2,0.2,995,62,62,0,1,12,0
North Carolina,35.88,-75.68,-1.4,0.2,0.2,882,82,82,0,1,12,0
North Carolina,35.88,-75.68,-1.26,0.2,0.2,830,87,87,0,1,12,0
North Carolina,35.88,-75.68,-1.14,0.2,0.2,827,100,100,0,1,12,0
North Carolina,35.88,-75.68,-0.77,0.2,0.2,602,56,56,0,1,12,0
North Carolina,35.88,-75.68,-0.81,0.2,0.2,572,60,60,0,1,12,0
North Carolina,35.88,-75.68,-0.69,0.2,0.2,383,78,78,0,1,12,0
North Carolina,35.88,-75.68,-0.56,0.2,0.2,150,150,150,0,1,12,0
North Carolina,35.88,-75.68,-1.84,0.54,0.54,1427,94,94,0,1,12,0
North Carolina,35.885,-75.681,-1.96,0.08,0.08,1438,52,52,0,1,12,1
North Carolina,35.885,-75.681,-1.85,0.08,0.08,1297,61,61,0,1,12,1
North Carolina,35.885,-75.681,-1.76,0.08,0.08,1276,62,62,0,1,12,1
